Months_since_Release,Format,A_units,A_values,Platform_Label,Territory_label,Avg_Price_unit,log_A_values,Forecasted_A_units,Discount_Forecast
1,DIGITAL,100.0,5600.949084,PC,POLAND,56.00949084,8.630691341648964,,
1,DIGITAL,100.0,5640.873112,PC,SOUTHERN EUROPE,56.40873112,8.637794139602923,,
1,DIGITAL,100.0,7369.971039,PS4,CENTRAL EUROPE,73.69971039,8.905169055596286,,
1,DIGITAL,100.0,7530.25,PS4,LUXEMBOURG,75.3025,8.926683520774022,,
1,DIGITAL,100.0,7634.964912,PS4,NORTHERN EUROPE,76.34964912000001,8.940493621964373,,
1,DIGITAL,100.0,7576.586207,PS4,SOUTHERN EUROPE,75.76586207,8.932818008720421,,
1,DIGITAL,100.0,7806.93483,XBOX ONE,BENE,78.0693483,8.962767698448713,,
1,DIGITAL,100.0,7081.95098,XBOX ONE,CENTRAL EUROPE,70.81950979999999,8.865304710874383,,
1,DIGITAL,100.0,7101.822034,XBOX ONE,EASTERN EUROPE,71.01822034,8.868106654614012,,
1,DIGITAL,100.0,7739.329137,XBOX ONE,IBERIA,77.39329137,8.954070288021093,,
1,DIGITAL,100.0,7399.483333,XBOX ONE,POLAND,73.99483333,8.909165456889877,,
1,DIGITAL,100.0,7574.193548,XBOX ONE,SOUTHERN EUROPE,75.74193548,8.932502162399825,,
1,DIGITAL,900.0,39109.04293,PC,EASTERN EUROPE,43.45449214444445,10.574108996215156,,
1,DIGITAL,900.0,50917.10177,PC,NORDICS,56.57455752222222,10.837954133730202,,
1,DIGITAL,900.0,50833.17993,PC,OCEANIA,56.481311033333334,10.83630456858645,,
1,DIGITAL,400.0,22793.05301,PC,BENE,56.982632525,10.034211075970468,,
1,DIGITAL,400.0,30671.56567,XBOX ONE,GSA,76.678914175,10.331091304713073,,
1,DIGITAL,1700.0,108541.1525,PS4,UNITED KINGDOM & IRELAND,63.84773676470588,11.594884665766292,,
1,DIGITAL,1200.0,88722.65419,PS4,FRANCE,73.93554515833334,11.39327053805557,,
1,DIGITAL,1200.0,77947.2441,PS4,MIDDLE EAST,64.95603675,11.26378751914637,,
1,DIGITAL,1200.0,88575.74268,PS4,NORDICS,73.81311889999999,11.3916133144572,,
1,DIGITAL,700.0,50006.38578,PS4,EASTERN EUROPE,71.43769397142857,10.81990599185534,,
1,DIGITAL,200.0,11428.30308,PC,ITALY,57.1415154,9.343848283825034,,
1,DIGITAL,200.0,14828.29215,PS4,POLAND,74.14146075,9.604292266666224,,
1,DIGITAL,200.0,15499.27273,XBOX ONE,ITALY,77.49636365,9.648548381161369,,
1,DIGITAL,200.0,15250.14129,XBOX ONE,MIDDLE EAST,76.25070645,9.63234404691067,,
1,DIGITAL,200.0,15361.99302,XBOX ONE,NORDICS,76.8099651,9.639651752190604,,
1,DIGITAL,1000.0,52424.13959,PC,UNITED KINGDOM & IRELAND,52.42413959,10.867122443427522,,
1,DIGITAL,500.0,28617.03028,PC,FRANCE,57.23406056,10.26175728392507,,
1,DIGITAL,500.0,36866.40391,PS4,IBERIA,73.73280782,10.515055952161672,,
1,DIGITAL,500.0,39503.47018,PS4,OCEANIA,79.00694035999999,10.584143799688622,,
1,DIGITAL,500.0,38528.08811,XBOX ONE,FRANCE,77.05617622,10.5591428155741,,
1,PHYSICAL,3100.0,229469.5154,PS4,ITALY,74.02242432258065,12.343525469158894,,
1,PHYSICAL,2600.0,201213.8694,PS4,IBERIA,77.38994976923077,12.212123648231525,,
1,PHYSICAL,1100.0,71876.18328,XBOX ONE,FRANCE,65.34198479999999,11.182700240990224,,
1,PHYSICAL,100.0,5773.150503,PC,BENE,57.73150503,8.66097322487528,,
1,PHYSICAL,100.0,7298.266771,PC,IBERIA,72.98266771,8.895392170315706,,
1,PHYSICAL,100.0,5998.267379,PC,ITALY,59.98267379,8.699225936341392,,
1,PHYSICAL,100.0,7714.430191,PC,NORDICS,77.14430191000001,8.950847904778685,,
1,PHYSICAL,100.0,5713.1106859870515,PS4,POLAND,57.13110685987051,8.650518932943756,,
1,PHYSICAL,100.0,2926.861538,PS4,UNITED KINGDOM & IRELAND,29.26861538,7.981685980482428,,
1,PHYSICAL,100.0,5713.1106859870515,XBOX ONE,POLAND,57.13110685987051,8.650518932943756,,
1,PHYSICAL,100.0,2883.753501,XBOX ONE,UNITED KINGDOM & IRELAND,28.83753501,7.96684802353144,,
1,PHYSICAL,400.0,29689.56702,XBOX ONE,ITALY,74.22391755,10.298550984290067,,
1,PHYSICAL,200.0,10887.63832,PC,FRANCE,54.4381916,9.295383325557669,,
1,PHYSICAL,200.0,6057.564384,PS4,GSA,30.287821920000003,8.709063081441458,,
1,PHYSICAL,200.0,13757.88618,XBOX ONE,BENE,68.7894309,9.529367479046941,,
1,PHYSICAL,200.0,15847.98631,XBOX ONE,IBERIA,79.23993155,9.670797724546615,,
1,PHYSICAL,200.0,14371.42036,XBOX ONE,NORDICS,71.8571018,9.57299681622053,,
1,PHYSICAL,2000.0,131217.8761,PS4,BENE,65.60893804999999,11.784614396973028,,
1,PHYSICAL,1500.0,110691.4333,PS4,NORDICS,73.79428886666668,11.614501729071696,,
1,PHYSICAL,7900.0,502198.0081,PS4,FRANCE,63.56936811392405,13.126749759349687,,
4,,,,,EASTERN EUROPE,,,105.81479369758028,105.81479369758028
5,,,,,EASTERN EUROPE,,,91.45940156543307,91.45940156543307
6,,,,,EASTERN EUROPE,,,79.03330476901603,82.98497000746683
7,,,,,EASTERN EUROPE,,,68.27721533777371,68.27721533777371
8,,,,,EASTERN EUROPE,,,58.96669235148564,59.556359275000496
9,,,,,EASTERN EUROPE,,,50.90745866508563,50.90745866508563
10,,,,,EASTERN EUROPE,,,43.931347043035984,43.931347043035984
11,,,,,EASTERN EUROPE,,,37.89279111365273,37.89279111365273
12,,,,,EASTERN EUROPE,,,32.66578792221351,32.66578792221351
4,,,,,FRANCE,,,68.21146864733247,68.21146864733247
5,,,,,FRANCE,,,57.7563031535864,57.7563031535864
6,,,,,FRANCE,,,48.880507201304766,51.324532561370006
7,,,,,FRANCE,,,41.34549937826626,41.34549937826626
8,,,,,FRANCE,,,34.94873865973525,35.2982260463326
9,,,,,FRANCE,,,29.518280105328518,29.518280105328518
10,,,,,FRANCE,,,24.908152978687838,24.908152978687838
11,,,,,FRANCE,,,20.99443705380677,20.99443705380677
12,,,,,FRANCE,,,17.671931639117904,17.671931639117904
4,,,,,MIDDLE EAST,,,81.11654894637249,81.11654894637249
5,,,,,MIDDLE EAST,,,65.81266821262665,65.81266821262665
6,,,,,MIDDLE EAST,,,53.36093809307277,56.02898499772641
7,,,,,MIDDLE EAST,,,43.2298095468131,43.2298095468131
8,,,,,MIDDLE EAST,,,34.98679715934937,35.33666513094287
